Probe,Gene,logFC
1565612_at,"HSPA6, HSPA7, NA",-1.8686403446929176
201019_s_at,"GUCA1ANB-GUCA1A, GUCA1A",-1.8315249843692067
1556102_x_at,CCL5,-1.776019261039421
1565621_at,EPHB3,-1.7651229668755488
47571_at,VPS18,-1.7292297892230113
235845_at,SLC46A1,-1.7262746898108632
1565836_at,TMEM196,-1.7156440228861367
1559005_s_at,SLC39A13,-1.7135732478767542
230283_at,BEST4,-1.7131193122033688
1565731_at,TMEM106A,-1.710812138806745
227798_at,GIMAP1,-1.7020103028590665
204013_s_at,GIMAP1,-1.701376066713291
217047_s_at,CCDC65,-1.696732294626799
210993_s_at,CENPBD1P,-1.690107118097188
217039_x_at,TRIOBP,-1.690078312242839
213421_x_at,GSC,-1.6874958713647648
231501_at,SP7,-1.6871226671399657
208609_s_at,CRYZL1,-1.679887583756843
224151_s_at,PRSS33,-1.6778756258837004
216500_at,CBARP,-1.6751859308943744
215609_at,MCMDC2,-1.674950799970891
237964_at,TIRAP,-1.6745272917659988
1554181_at,MSI2,-1.6739271597138103
216671_x_at,SCIN,-1.6736619933937167
200933_x_at,CTCFL,-1.6725940761676192
213157_s_at,RDH10,-1.6686186249960921
214678_x_at,SRSF12,-1.6675542143499502
201165_s_at,GARIN4,-1.6661043486921965
213864_s_at,GAPT,-1.6658579045918038
1570014_at,SCUBE1,-1.6657741684971044
230191_at,ENTHD1,-1.6636606893567327
200644_at,CLEC12A,-1.6626789077747113
216342_x_at,BRF1,-1.6623640878752295
200998_s_at,ODF4,-1.6574837590281004
201016_at,"DEFB106B, DEFB106A",-1.6547551935064864
221002_s_at,NEDD1,-1.653107557730712
211076_x_at,"NA, CALR3",-1.651911494295439
213955_at,TM2D3,-1.650270660167775
1559713_at,ANKAR,-1.646114559598395
219351_at,MEGF11,-1.6459813491278141
227376_at,ESX1,-1.6442576015668913
232240_at,FAM167A-AS1,-1.6441406545876056
237191_x_at,"SCGB1C2, SCGB1C1",-1.6423759454710578
240535_at,WDR88,-1.6422885773635376
1554819_a_at,"MBD3L5, MBD3L4, MBD3L2, MBD3L3, MBD3L2B",-1.6414746531034394
