Probe,Gene,logFC
201762_s_at,PAX8,1.855157430120896
1564533_at,"UBA7, MIR5193",1.7968784278132568
204735_at,THRA,1.794383623784874
216554_s_at,PTPN21,1.778471598933045
1554482_a_at,CYP2E1,1.7697255305690827
217959_s_at,"ESRRAP1, ESRRA",1.7638539553717731
224815_at,"CYP2A6, CYP2A7",1.7602764999861176
1559689_a_at,SCARB1,1.7563631877301968
218080_x_at,TTLL12,1.7562468174536676
208678_at,MIR4435-2HG,1.7561123541218704
205642_at,WFDC2,1.755475606715518
201214_s_at,MAPK1,1.7504887149200787
212491_s_at,MAPK1,1.747475399886528
227364_at,ADAM32,1.7422727797758875
201744_s_at,SPATA17,1.739102108479084
221915_s_at,PRR22,1.7389491721729993
217692_at,PRR22,1.7361460878288142
233466_at,PXK,1.736135066366397
209103_s_at,PXK,1.7352342996939292
215792_s_at,MSANTD3,1.7265950881838428
217958_at,SLC46A1,1.724345867154809
226259_at,TIMD4,1.7232300873291253
243033_at,SLC39A5,1.7220167472080719
218074_at,"ZDHHC11, ZDHHC11B",1.720189231579936
220568_at,ATP6V1E2,1.719612018560535
201452_at,AFG3L1P,1.7192295076230866
218996_at,CILP2,1.7174319278517018
201716_at,CILP2,1.716442236680389
207611_at,PIGX,1.7162772883630695
200076_s_at,AK9,1.712660322317188
229525_at,CORO6,1.7110101650973242
201199_s_at,TMEM106A,1.7106918736066794
201233_at,ALG10,1.7081572968722987
223064_at,ALG10,1.7061998104695086
226461_at,TTC39C,1.7057505772951027
205545_x_at,NEXN,1.7056843326795212
221708_s_at,C15orf40,1.7056499937204557
203270_at,RAX2,1.705263328449987
222894_x_at,MFAP3,1.703836614439904
223048_at,EYA3,1.7035181763452276
1566882_at,GIMAP1,1.6984496710265484
204335_at,KLK8,1.6968162168560381
226736_at,CCDC65,1.6960117802275758
227352_at,PABIR3,1.6955948536325143
208844_at,PABIR3,1.6954151795452717
244110_at,CFAP53,1.693238784470847
239443_at,CFAP53,1.6928508714086714
203528_at,ARMCX4,1.691644893473738
222556_at,RBBP6,1.6912870858584015
205012_s_at,TRIOBP,1.6898935534474187
223481_s_at,CATSPER1,1.6894228277840906
223964_x_at,HOXD4,1.6890400659432137
219438_at,PDE7A,1.6839208689170138
201405_s_at,CNOT7,1.681855061834586
213409_s_at,PRSS33,1.6789361936296177
229814_at,CBARP,1.6758590979750838
218064_s_at,LEAP2,1.674309640497297
1564662_at,SCIN,1.6733124418405505
212300_at,C4orf33,1.6713882386593337
